Date,Interest
2004-01,78
2004-02,76
2004-03,63
2004-04,80
2004-05,67
2004-06,52
2004-07,58
2004-08,46
2004-09,48
2004-10,57
2004-11,57
2004-12,56
2005-01,55
2005-02,48
2005-03,51
2005-04,42
2005-05,49
2005-06,36
2005-07,35
2005-08,30
2005-09,42
2005-10,51
2005-11,43
2005-12,36
2006-01,35
2006-02,29
2006-03,33
2006-04,40
2006-05,35
2006-06,24
2006-07,25
2006-08,24
2006-09,34
2006-10,26
2006-11,34
2006-12,26
2007-01,22
2007-02,28
2007-03,30
2007-04,27
2007-05,25
2007-06,21
2007-07,28
2007-08,25
2007-09,30
2007-10,27
2007-11,26
2007-12,22
2008-01,23
2008-02,27
2008-03,27
2008-04,26
2008-05,21
2008-06,20
2008-07,20
2008-08,20
2008-09,27
2008-10,25
2008-11,28
2008-12,23
2009-01,24
2009-02,27
2009-03,26
2009-04,27
2009-05,23
2009-06,23
2009-07,23
2009-08,29
2009-09,28
2009-10,25
2009-11,27
2009-12,30
2010-01,25
2010-02,23
2010-03,25
2010-04,25
2010-05,25
2010-06,18
2010-07,18
2010-08,19
2010-09,22
2010-10,26
2010-11,25
2010-12,22
2011-01,22
2011-02,27
2011-03,28
2011-04,26
2011-05,24
2011-06,20
2011-07,19
2011-08,24
2011-09,26
2011-10,36
2011-11,34
2011-12,27
2012-01,21
2012-02,22
2012-03,23
2012-04,24
2012-05,20
2012-06,22
2012-07,18
2012-08,19
2012-09,21
2012-10,25
2012-11,23
2012-12,20
2013-01,20
2013-02,21
2013-03,21
2013-04,23
2013-05,22
2013-06,16
2013-07,15
2013-08,17
2013-09,21
2013-10,21
2013-11,21
2013-12,19
2014-01,24
2014-02,23
2014-03,22
2014-04,24
2014-05,23
2014-06,20
2014-07,20
2014-08,21
2014-09,24
2014-10,26
2014-11,29
2014-12,29
2015-01,29
2015-02,28
2015-03,34
2015-04,31
2015-05,40
2015-06,30
2015-07,41
2015-08,28
2015-09,40
2015-10,36
2015-11,36
2015-12,35
2016-01,40
2016-02,35
2016-03,43
2016-04,41
2016-05,37
2016-06,35
2016-07,28
2016-08,29
2016-09,39
2016-10,53
2016-11,48
2016-12,49
2017-01,48
2017-02,51
2017-03,51
2017-04,54
2017-05,61
2017-06,49
2017-07,53
2017-08,59
2017-09,67
2017-10,73
2017-11,70
2017-12,67
2018-01,88
2018-02,75
2018-03,62
2018-04,75
2018-05,65
2018-06,58
2018-07,51
2018-08,50
2018-09,61
2018-10,65
2018-11,60
2018-12,62
2019-01,60
2019-02,66
2019-03,74
2019-04,67
2019-05,61
2019-06,56
2019-07,52
2019-08,51
2019-09,60
2019-10,61
2019-11,62
2019-12,57
2020-01,58
2020-02,65
2020-03,56
2020-04,55
2020-05,50
2020-06,49
2020-07,49
2020-08,49
2020-09,56
2020-10,53
2020-11,51
2020-12,50
2021-01,48
2021-02,52
2021-03,46
2021-04,49
2021-05,49
2021-06,42
2021-07,44
2021-08,45
2021-09,50
2021-10,59
2021-11,54
2021-12,51
2022-01,49
2022-02,56
2022-03,56
2022-04,61
2022-05,51
2022-06,49
2022-07,49
2022-08,53
2022-09,62
2022-10,59
2022-11,60
2022-12,69
2023-01,80
2023-02,100